index,title,year,published,district,url
32,Granville 2015,2015,2015-03-28,Granville,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Granville.zip
33,Hawkesbury 2015,2015,2015-03-28,Hawkesbury,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Hawkesbury.zip
34,Heathcote 2015,2015,2015-03-28,Heathcote,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Heathcote.zip
35,Heffron 2015,2015,2015-03-28,Heffron,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Heffron.zip
36,Holsworthy 2015,2015,2015-03-28,Holsworthy,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Holsworthy.zip
37,Hornsby 2015,2015,2015-03-28,Hornsby,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Hornsby.zip
38,Keira 2015,2015,2015-03-28,Keira,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Keira.zip
39,Kiama 2015,2015,2015-03-28,Kiama,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Kiama.zip
40,Kogarah 2015,2015,2015-03-28,Kogarah,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Kogarah.zip
41,Ku-ring-gai 2015,2015,2015-03-28,Ku-ring-gai,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Ku-ring-gai.zip
42,Lake Macquarie 2015,2015,2015-03-28,Lake Macquarie,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Lake%20Macquarie.zip
43,Lakemba 2015,2015,2015-03-28,Lakemba,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Lakemba.zip
44,Lane Cove 2015,2015,2015-03-28,Lane Cove,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Lane%20Cove.zip
45,Lismore 2015,2015,2015-03-28,Lismore,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Lismore.zip
46,Liverpool 2015,2015,2015-03-28,Liverpool,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Liverpool.zip
47,Londonderry 2015,2015,2015-03-28,Londonderry,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Londonderry.zip
48,Macquarie Fields 2015,2015,2015-03-28,Macquarie Fields,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Macquarie%20Fields.zip
49,Maitland 2015,2015,2015-03-28,Maitland,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Maitland.zip
50,Manly 2015,2015,2015-03-28,Manly,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Manly.zip
51,Maroubra 2015,2015,2015-03-28,Maroubra,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Maroubra.zip
52,Miranda 2015,2015,2015-03-28,Miranda,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Miranda.zip
53,Monaro 2015,2015,2015-03-28,Monaro,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Monaro.zip
54,Mount Druitt 2015,2015,2015-03-28,Mount Druitt,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Mount%20Druitt.zip
55,Mulgoa 2015,2015,2015-03-28,Mulgoa,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Mulgoa.zip
56,Murray 2015,2015,2015-03-28,Murray,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Murray.zip
57,Myall Lakes 2015,2015,2015-03-28,Myall Lakes,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Myall%20Lakes.zip
58,Newcastle 2015,2015,2015-03-28,Newcastle,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Newcastle.zip
59,Newtown 2015,2015,2015-03-28,Newtown,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Newtown.zip
60,North Shore 2015,2015,2015-03-28,North Shore,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_North%20Shore.zip
61,Northern Tablelands 2015,2015,2015-03-28,Northern Tablelands,https://pastvtr.elections.nsw.gov.au/SGE2015/data/la/SGE2015%20LA%20Pref%20Data_NA_Northern%20Tablelands.zip
